id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
183,182,Colgate-Palmolive,36700,174,15195.0,-0.052,2441.0,0.764,12123.0,64715.0
184,183,PPG Industries,47000,182,15178.0,-0.01,877.0,-0.376,15769.0,26970.0
185,184,Goodyear Tire & Rubber,66000,169,15158.0,-0.078,1264.0,3.117,16511.0,9070.0
186,185,Synchrony Financial,15000,,15122.0,0.11,2251.0,0.017,90207.0,27810.0
187,186,DISH Network,16000,187,15095.0,0.002,1449.9,0.941,28092.0,29547.0
188,187,Visa,14200,204,15082.0,0.087,5991.0,-0.053,64035.0,206242.0
189,188,Nordstrom,72500,197,14757.0,0.022,354.0,-0.41,7858.0,7770.0
190,189,INTL FCStone,1464,83,14755.0,-0.575,54.7,-0.018,5951.0,708.0
191,190,WestRock,39000,251,14706.0,0.292,-396.3,-1.782,23038.0,13029.0
192,191,XPO Logistics,87000,353,14619.0,0.918,69.0,,11698.0,5338.0
193,192,Aramark,217250,199,14416.0,0.006,287.8,0.22,10582.0,9081.0
194,193,CBS,18410,203,14386.0,0.036,1261.0,-0.108,24238.0,28405.0
195,194,AES,19000,190,14287.0,-0.045,-1130.0,-4.693,36119.0,7371.0
196,195,WellCare Health Plans,7400,202,14237.0,0.025,242.1,1.041,6153.0,6212.0
197,196,FirstEnergy,15707,188,14156.0,-0.031,-6177.0,,43148.0,14118.0
198,197,ConAgra Foods,20900,176,14134.0,-0.108,-677.0,,13391.0,17557.0
199,198,Synnex,110000,212,14062.0,0.054,234.9,0.127,5223.0,4469.0
200,199,CDW,8516,220,13982.0,0.076,424.4,0.053,6948.0,9197.0
201,200,Textron,36000,209,13788.0,0.027,962.0,0.38,15358.0,12851.0
202,201,Waste Management,41200,221,13609.0,0.05,1182.0,0.57,20859.0,32216.0
203,202,Illinois Tool Works,50000,211,13599.0,0.014,2035.0,0.072,15201.0,45791.0
204,203,Office Depot,38000,196,13585.0,-0.062,529.0,,5540.0,2402.0
205,204,Monsanto,22450,189,13502.0,-0.1,1336.0,-0.423,19736.0,49644.0
206,205,Cognizant Technology Solutions,260200,230,13487.0,0.086,1553.0,-0.043,14262.0,36226.0
207,206,Texas Instruments,29865,219,13370.0,0.028,3595.0,0.204,16431.0,80531.0
208,207,Lincoln National,9057,205,13330.0,-0.018,1192.0,0.033,261627.0,14760.0
209,208,Newell Brands,53400,434,13264.0,1.221,527.8,0.508,33838.0,22787.0
210,209,Land O,10000,215,13233.0,0.006,244.9,-0.204,8305.0,
211,210,Marsh & McLennan,60000,222,13211.0,0.025,1768.0,0.106,18190.0,38078.0
212,211,Ecolab,47565,206,13153.0,-0.029,1229.6,0.227,18330.0,36356.0
213,212,C.H. Robinson Worldwide,14125,208,13144.0,-0.025,513.4,0.007,3688.0,10958.0
214,213,Loews,15800,210,13105.0,-0.023,654.0,1.515,76594.0,15747.0
215,214,CBRE Group,75000,259,13072.0,0.204,572.0,0.045,10780.0,11753.0
216,215,Kinder Morgan,11121,198,13058.0,-0.093,708.0,1.798,80305.0,48533.0
217,216,Kellogg,37369,207,13014.0,-0.038,694.0,0.13,15111.0,25417.0
218,217,Western Digital,72878,194,12994.0,-0.108,242.0,-0.835,32862.0,23775.0
219,218,Guardian Life Ins. Co. of America,8876,226,12919.0,0.023,263.9,-0.357,70339.0,
220,219,Ross Stores,78600,237,12867.0,0.078,1117.7,0.095,5309.0,25814.0
221,220,L Brands,59100,234,12574.0,0.035,1158.1,-0.076,8170.0,13426.0
222,221,J.C. Penney,106000,228,12547.0,-0.006,1.0,,9314.0,1901.0
223,222,Farmers Insurance Exchange,13309,227,12513.0,-0.009,-147.9,,16057.0,
224,223,Reynolds American,5525,266,12503.0,0.171,6073.0,0.867,51095.0,89862.0
225,224,Viacom,9650,213,12488.0,-0.059,1438.0,-0.252,22508.0,18503.0
226,225,Becton Dickinson,50928,278,12483.0,0.214,976.0,0.404,25586.0,39041.0
227,226,Micron Technology,31400,173,12399.0,-0.234,-276.0,-1.095,27540.0,31972.0
228,227,Principal Financial,14854,236,12394.0,0.036,1316.5,0.067,228014.0,18143.0
229,228,Arconic,41500,126,12394.0,-0.45,-941.0,,20038.0,11604.0
230,229,NRG Energy,8763,193,12351.0,-0.158,-774.0,,30355.0,5911.0
231,230,VF,69000,231,12207.0,-0.014,1074.1,-0.128,9739.0,22786.0
232,231,Devon Energy,3545,216,12197.0,-0.072,-3302.0,,25913.0,21886.0
233,232,D.R. Horton,6976,260,12157.0,0.123,886.3,0.181,11559.0,12438.0
234,233,Bed Bath & Beyond,62000,238,12104.0,0.019,841.5,-0.121,6499.0,5931.0
235,234,Consolidated Edison,14960,229,12075.0,-0.038,1245.0,0.044,48255.0,23708.0
236,235,Edison International,12390,246,11869.0,0.03,1311.0,0.285,51319.0,25938.0
237,236,Sherwin-Williams,42550,253,11856.0,0.046,1132.7,0.075,6753.0,28891.0
238,237,NGL Energy Partners,3200,167,11742.0,-0.301,-198.9,-6.332,5560.0,2686.0
239,238,Dominion Resources,16200,243,11737.0,0.005,2123.0,0.118,71610.0,48732.0
240,239,Ameriprise Financial,13195,232,11735.0,-0.038,1314.0,-0.159,139821.0,19953.0
241,240,ADP,57000,248,11668.0,0.017,1492.5,0.028,43670.0,45963.0
242,241,Hilton Worldwide Holdings,169000,254,11663.0,0.035,348.0,-0.752,26211.0,19276.0
243,242,First Data,24000,249,11584.0,0.012,420.0,,40292.0,14224.0
244,243,Henry Schein,21000,268,11572.0,0.089,506.8,0.058,6730.0,13461.0
245,244,Toys ,64000,240,11540.0,-0.022,-36.0,,6908.0,
246,245,BB&T Corp.,37500,273,11538.0,0.115,2426.0,0.164,219276.0,36141.0
247,246,Reinsurance Group of America,2371,271,11522.0,0.106,701.4,0.397,53098.0,8169.0
248,247,Core-Mark Holding,7688,317,11507.0,0.299,54.2,0.052,1497.0,1445.0
249,248,Biogen,7400,263,11449.0,0.064,3702.8,0.044,22877.0,59046.0
250,249,Las Vegas Sands,49000,241,11410.0,-0.024,1670.0,-0.151,20469.0,45313.0
251,250,Stanley Black & Decker,54023,256,11407.0,0.017,965.3,0.092,15635.0,20280.0
252,251,Parker-Hannifin,48950,224,11361.0,-0.106,806.8,-0.203,12057.0,21370.0
253,252,Stryker,33000,287,11325.0,0.139,1647.0,0.145,20435.0,49115.0
254,253,Estee Lauder,46000,261,11262.0,0.045,1114.6,0.024,9223.0,31068.0
255,254,Celgene,7132,305,11229.0,0.213,1999.2,0.248,28086.0,96802.0
256,255,BlackRock,13000,250,11155.0,-0.022,3172.0,-0.052,220177.0,62225.0
257,256,Xcel Energy,11476,257,11107.0,0.007,1123.4,0.141,41155.0,22546.0
258,257,CSX,26628,239,11069.0,-0.063,1714.0,-0.129,35414.0,43126.0
259,258,Unum Group,9400,265,11047.0,0.029,931.4,0.074,61942.0,10749.0
260,259,Jacobs Engineering Group,49350,235,10964.0,-0.095,210.5,-0.305,7360.0,6693.0
261,260,Lennar,8335,301,10950.0,0.156,911.8,0.136,15362.0,12002.0
262,261,Group 1 Automotive,13500,267,10888.0,0.024,147.1,0.565,4462.0,1584.0
263,262,Leucadia National,13000,242,10875.0,-0.069,130.0,-0.542,45071.0,9355.0
264,263,Entergy,13513,247,10846.0,-0.058,-583.6,,45904.0,13685.0
265,264,PayPal Holdings,18100,307,10842.0,0.172,1401.0,0.141,33103.0,51650.0
266,265,Applied Materials,16150,295,10825.0,0.121,1721.0,0.25,14588.0,42005.0
267,266,Voya Financial,6700,252,10782.0,-0.049,-428.0,-2.048,214235.0,7191.0
268,267,MasterCard,11900,294,10776.0,0.115,4059.0,0.066,18675.0,121234.0
269,268,Priceline Group,18500,308,10743.0,0.165,2135.0,-0.163,19839.0,87522.0
270,269,Liberty Interactive,21080,284,10647.0,0.066,1235.0,0.421,20355.0,9101.0
271,270,AutoZone,66780,280,10636.0,0.044,1241.0,0.07,8600.0,20540.0
272,271,State Street Corp.,33783,264,10635.0,-0.012,2143.0,0.082,242698.0,30406.0
273,272,DTE Energy,10000,274,10630.0,0.028,868.0,0.194,32041.0,18317.0
274,273,L-3 Communications,38000,245,10597.0,-0.083,710.0,,11865.0,12859.0
275,274,HollyFrontier,2676,214,10536.0,-0.204,-260.5,-1.352,9436.0,5048.0
276,275,Praxair,26498,262,10534.0,-0.022,1500.0,-0.03,19332.0,33834.0
277,276,Universal Health Services,70863,290,10508.0,0.074,702.4,0.032,10318.0,12022.0
278,277,Discover Financial Services,15549,283,10497.0,0.049,2393.0,0.042,92308.0,26255.0
279,278,Occidental Petroleum,11000,225,10398.0,-0.181,-574.0,,43109.0,48444.0
280,279,United States Steel,29800,244,10261.0,-0.113,-440.0,,9160.0,5893.0
281,280,Sempra Energy,16575,279,10183.0,-0.005,1370.0,0.016,47786.0,27692.0
282,281,Baxter International,48000,286,10163.0,0.02,4965.0,4.129,15546.0,28106.0
283,282,W.W. Grainger,25000,285,10137.0,0.016,605.9,-0.212,5694.0,13668.0
284,283,Autoliv,65900,310,10074.0,0.099,567.1,0.241,8234.0,9032.0
285,284,Norfolk Southern,27856,270,9888.0,-0.059,1668.0,0.072,34892.0,32515.0
286,285,Baker Hughes,33000,178,9841.0,-0.375,-2738.0,,19034.0,25444.0
287,286,Ally Financial,7600,298,9835.0,0.031,1067.0,-0.172,163728.0,9437.0
288,287,Sonic Automotive,9800,297,9732.0,0.011,93.2,0.08,3639.0,900.0
289,288,Owens & Minor,7900,291,9723.0,-0.005,108.8,0.052,2718.0,2114.0
290,289,Huntsman,15000,277,9657.0,-0.062,326.0,2.505,9189.0,5880.0
291,290,Laboratory Corp. of America,52000,325,9642.0,0.111,732.1,0.676,14247.0,14696.0
292,291,Murphy USA,6600,258,9633.0,-0.115,221.5,0.256,2089.0,2706.0
293,292,Advance Auto Parts,57500,293,9568.0,-0.017,459.6,-0.029,8315.0,10944.0
294,293,Fidelity National Financial,55219,311,9554.0,0.046,650.0,0.233,14463.0,10600.0
295,294,Air Products & Chemicals,18450,288,9524.0,-0.037,631.1,-0.506,18055.0,29438.0
296,295,Hormel Foods,21100,304,9523.0,0.028,890.1,0.297,6370.0,18316.0
297,296,Hertz Global Holdings,36000,269,9480.0,-0.1,-491.0,-2.799,19155.0,1456.0
298,297,MGM Resorts International,66500,309,9455.0,0.029,1101.4,,28173.0,15733.0
299,298,Corning,40700,313,9390.0,0.031,3695.0,1.76,27899.0,25030.0
300,299,Republic Services,33000,312,9388.0,0.03,612.6,-0.183,20630.0,21312.0
301,300,Alcoa,14000,,9318.0,,-400.0,,16741.0,6337.0
302,301,Fidelity National Information Services,55000,392,9241.0,0.401,568.0,-0.101,26031.0,26178.0
303,302,Pacific Life,3628,326,9169.0,0.061,824.0,0.247,143298.0,
304,303,SunTrust Banks,24375,329,9161.0,0.074,1878.0,-0.028,204875.0,27175.0
305,304,LKQ,42500,369,9082.0,0.263,464.0,0.096,8303.0,9021.0
306,305,BorgWarner,27000,339,9071.0,0.131,118.5,-0.806,8835.0,8895.0
307,306,Ball,18450,341,9061.0,0.133,263.0,-0.064,16173.0,13000.0
308,307,CST Brands,12380,299,9061.0,-0.046,324.0,1.174,4360.0,3645.0
309,308,Public Service Enterprise Group,13065,272,9061.0,-0.13,887.0,-0.472,40070.0,22451.0
310,309,Eastman Chemical,14000,296,9008.0,-0.066,854.0,0.007,15457.0,11783.0
311,310,eBay,12600,300,8979.0,-0.054,7266.0,3.212,23847.0,36232.0
312,311,Mohawk Industries,37800,338,8959.0,0.11,930.4,0.512,10231.0,17025.0
313,312,Oneok,2384,348,8921.0,0.149,352.0,0.437,16139.0,11684.0
314,313,Frontier Communications,28332,461,8896.0,0.595,-373.0,,29013.0,2521.0
315,314,Netflix,3850,379,8831.0,0.303,186.7,0.522,13587.0,63619.0
316,315,American Family Insurance Group,10471,332,8829.0,0.066,325.6,-0.531,22662.0,
317,316,Thrivent Financial for Lutherans,3282,318,8777.0,-0.001,587.8,-0.236,88561.0,
318,317,Expedia,20075,385,8774.0,0.315,281.8,-0.631,15778.0,18901.0
319,318,Lithia Motors,11170,346,8678.0,0.103,197.1,0.077,3844.0,2156.0
320,319,Avis Budget Group,25600,330,8659.0,0.018,163.0,-0.479,17643.0,2528.0
321,320,Reliance Steel & Aluminum,14500,303,8613.0,-0.079,304.3,-0.023,7411.0,5830.0
322,321,GameStop,41750,302,8608.0,-0.081,353.2,-0.123,4976.0,2282.0
323,322,Tenneco,31000,334,8599.0,0.048,363.0,0.47,4342.0,3390.0
324,323,O,58397,342,8593.0,0.079,1037.7,0.114,7204.0,24730.0
325,324,Peter Kiewit Sons,20000,314,8573.0,-0.047,396.0,0.578,6179.0,
326,325,United Natural Foods,9554,335,8470.0,0.035,125.8,-0.093,2852.0,2187.0
327,326,salesforce.com,25000,386,8392.0,0.259,179.6,,17585.0,58362.0
328,327,Boston Scientific,27000,359,8386.0,0.122,347.0,,18096.0,34046.0
329,328,Newmont Mining,12438,349,8379.0,0.084,-627.0,-3.85,21031.0,17518.0
330,329,Genworth Financial,3400,306,8369.0,-0.095,-277.0,,104658.0,2056.0
331,330,Live Nation Entertainment,11500,366,8355.0,0.153,2.9,,6764.0,6219.0
332,331,Veritiv,8700,323,8327.0,-0.045,21.0,-0.213,2484.0,813.0
333,332,News Corp.,24000,327,8319.0,-0.036,179.0,,15483.0,7559.0
334,333,Crown Holdings,23992,321,8284.0,-0.055,496.0,0.262,9599.0,7367.0
335,334,Global Partners,1770,276,8240.0,-0.201,-199.4,-5.578,2564.0,663.0
336,335,PVH,26650,340,8203.0,0.023,549.0,-0.041,11068.0,8092.0
337,336,Level 3 Communications,12600,333,8172.0,-0.007,677.0,-0.803,24888.0,20638.0
338,337,Navistar International,11300,281,8111.0,-0.2,-97.0,,5653.0,2416.0
339,338,Univar,8700,315,8074.0,-0.101,-68.4,-5.145,5390.0,4293.0
340,339,Campbell Soup,16500,337,7961.0,-0.015,563.0,-0.185,7837.0,17423.0
341,340,Dick,27550,365,7922.0,0.09,287.4,-0.13,4058.0,5489.0
342,341,Weyerhaeuser,10400,373,7902.0,0.116,1027.0,1.03,19243.0,25451.0
343,342,Mutual of Omaha Insurance,5732,367,7899.0,0.092,356.6,0.071,38465.0,
344,343,Chesapeake Energy,3300,223,7872.0,-0.383,-4401.0,,13028.0,5394.0
345,344,Anadarko Petroleum,4500,324,7869.0,-0.095,-3071.0,,45564.0,34640.0
346,345,Interpublic Group,49800,355,7847.0,0.031,608.5,0.339,12485.0,9648.0
347,346,J.M. Smucker,6910,452,7811.0,0.372,688.7,0.997,15984.0,15263.0
348,347,Steel Dynamics,7695,356,7777.0,0.024,382.1,,6424.0,8425.0
349,348,Foot Locker,32965,361,7766.0,0.048,664.0,0.227,3840.0,9818.0
350,349,Western Refining,7134,289,7743.0,-0.209,124.9,-0.693,5560.0,3812.0
351,350,SpartanNash,11500,351,7735.0,0.011,56.8,-0.094,1930.0,1313.0
352,351,Dean Foods,17000,336,7710.0,-0.051,119.9,,2606.0,1786.0
353,352,Zimmer Biomet Holdings,18500,431,7684.0,0.281,305.9,1.081,26684.0,24571.0
354,353,PulteGroup,4623,433,7669.0,0.282,602.7,0.22,10178.0,7466.0
355,354,W.R. Berkley,7608,368,7654.0,0.062,601.9,0.195,23365.0,8561.0
356,355,Quanta Services,28100,352,7651.0,0.002,198.4,-0.362,5354.0,5386.0
357,356,EOG Resources,2650,322,7651.0,-0.126,-1096.7,,29459.0,56302.0
358,357,Charles Schwab,16200,401,7644.0,0.176,1889.0,0.305,223383.0,54555.0
359,358,Eversource Energy,7762,343,7639.0,-0.04,942.3,0.073,32053.0,18627.0
360,359,Anixter International,8900,391,7625.0,0.156,120.5,-0.056,4094.0,2626.0
361,360,EMCOR Group,31000,381,7552.0,0.123,181.9,0.056,3894.0,3756.0
362,361,Assurant,14700,275,7532.0,-0.271,565.4,2.994,29709.0,5298.0
363,362,CenterPoint Energy,7727,363,7528.0,0.019,432.0,,21829.0,11882.0
364,363,Harris,21000,505,7527.0,0.481,324.0,-0.03,11996.0,13849.0
365,364,HD Supply Holdings,14000,320,7524.0,-0.143,196.0,-0.867,5707.0,8296.0
366,365,PPL,12689,350,7517.0,-0.02,1902.0,1.789,38315.0,25448.0
367,366,Quest Diagnostics,43000,358,7515.0,0.003,645.0,-0.09,10100.0,13501.0
368,367,Williams,5604,364,7499.0,0.019,-424.0,,46835.0,24436.0
369,368,WEC Energy Group,8074,437,7472.0,0.261,939.0,0.471,30123.0,19134.0
370,369,Hershey,17140,362,7440.0,0.007,720.0,0.404,5524.0,23236.0
371,370,AGCO,19795,360,7411.0,-0.008,160.1,-0.399,7168.0,4783.0
372,371,Ralph Lauren,20500,354,7405.0,-0.028,396.0,-0.436,6213.0,6710.0
373,372,Masco,26000,345,7357.0,-0.069,491.0,0.383,5137.0,10888.0
374,373,WESCO International,9000,357,7336.0,-0.024,101.6,-0.518,4491.0,3389.0
375,374,LifePoint Health,47000,430,7274.0,0.209,121.9,-0.33,6319.0,2616.0
376,375,National Oilwell Varco,36384,192,7251.0,-0.509,-2412.0,,21140.0,15183.0
377,376,Kindred Healthcare,76650,372,7227.0,0.018,-664.2,,6113.0,711.0
378,377,Mosaic,8700,316,7163.0,-0.195,297.8,-0.702,16841.0,10242.0
379,378,Alliance Data Systems,17000,404,7138.0,0.108,515.8,-0.135,25514.0,13925.0
380,379,Computer Sciences,59000,233,7106.0,-0.417,251.0,,7736.0,9746.0
381,380,Huntington Ingalls Industries,37000,378,7068.0,0.007,573.0,0.418,6352.0,9265.0
382,381,Leidos Holdings,32000,504,7043.0,0.385,244.0,-0.039,9132.0,7696.0
383,382,Erie Insurance Group,4988,411,7016.0,0.057,741.9,0.107,18417.0,
384,383,Tesla,30025,588,7000.0,0.73,-674.9,,22664.0,45390.0
385,384,Ascena Retail Group,41000,523,6995.0,0.456,-11.9,,5506.0,830.0
